date,headline,source
2020-01-29,"Tesla Says In Q4 Deployed 54 MW Of Solar, Up 26% From Last Quarter",kaggle_historical
2020-01-29,Tesla Sees FY20 Vehicle Deliveries 'Comfortably' Exceeding 500K Units,kaggle_historical
2020-01-29,Tesla shares are trading higher in anticipation of the company's Q4 earnings scheduled for after the close today. The current Q4 EPS estimate is $1.72 and the sales estimate is $7.02 billion.,kaggle_historical
2020-01-29,"Tesla Q4 Adj. EPS $2.14 Beats $1.72 Estimate, Sales $7.384B Beats $7.02B Estimate",kaggle_historical
2020-01-29,"Earnings Scheduled For January 29, 2020",kaggle_historical
2020-01-29,"Tesla Reports Q4 Vehicle Deliveries 112,095",kaggle_historical
2020-01-29,"12 Stocks To Watch For January 29, 2020",kaggle_historical
2020-01-29,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jan. 29, 2020: AAPL, TSLA, FB, BYND, MSFT",kaggle_historical
2020-01-29,"Chancellery In German State Of Brandenburg Says Tesla Plans To Produce Up To 500,000 Electric Cars In Its European Gigafactory",kaggle_historical
2020-01-29,Chancellery In German State Of Brandenburg Says Tesla Notary Has Certified Purchase Agreement Between Tesla And State Of Brandenburg For Site In Gruenheide,kaggle_historical
2020-01-29,"B of A Securities Maintains Underperform on Tesla, Raises Price Target to $350",kaggle_historical
2020-01-29,'Tesla Model Y spotted in Canada as rumors of deliveries increase ' -Electrek,kaggle_historical
2020-01-29,"Analyst Acknowledges 'Rude Awakening' On Tesla, But Remains Cautious",kaggle_historical
2020-01-29,This Might Be The Best Song Ever Written About A Tesla,kaggle_historical
2020-01-29,Tesla Q4 GAAP EPS $0.58,kaggle_historical
2020-01-29,A Bull Vs. Bear Take On Tesla's Stock,kaggle_historical
2020-01-30,"Canaccord Genuity Maintains Buy on Tesla, Raises Price Target to $750",kaggle_historical
2020-01-30,'Tesla unveils new Model Y wheels: Überturbine and Induction wheels' -Electrek,kaggle_historical
2020-01-30,"Benzinga Pro's Top 5 Stocks To Watch For Thurs., Jan. 30, 2020: TSLA, AMZN, INO, QRVO, AMGN",kaggle_historical
2020-01-30,"Credit Suisse Maintains Underperform on Tesla, Raises Price Target to $415",kaggle_historical
2020-01-30,"Roth Capital Maintains Sell on Tesla, Raises Price Target to $350",kaggle_historical
2020-01-30,"Continuing A Run Of Good Fortune, Tesla Posts Second Quarterly Profit",kaggle_historical
2020-01-30,"Tough Lead-In: Virus Fears Crush Hong Kong Stocks Overnight, Putting Pressure On US",kaggle_historical
2020-01-30,Stocks That Hit 52-Week Highs On Thursday,kaggle_historical
2020-01-30,'Leader Of The EV Revolution': 5 Analysts Weigh In On Tesla's Q4 Beat,kaggle_historical
2020-01-30,"CFRA Still Says To Sell Tesla On Competition, China Production Concerns",kaggle_historical
2020-01-30,"B of A Securities Maintains Underperform on Tesla, Raises Price Target to $370",kaggle_historical
2020-01-30,"UPDATE: B of A Securities Maintains Underperform on Tesla, Raises Price Target to $370 Notes 10 Potential Catalysts To Remain Cautious:",kaggle_historical
2020-01-30,"Oppenheimer Maintains Outperform on Tesla, Raises Price Target to $684",kaggle_historical
2020-01-30,50 Stocks Moving In Thursday's Mid-Day Session,kaggle_historical
2020-01-30,Electrek Reports Elon Musk On Conference Call Said Tesla Is ' rapidly approaching a 400-mile range for Model S',kaggle_historical
2020-01-30,"Cramer Compares Tesla Investors To Amazon, Netflix: If You Love The Product, You Love The Stock",kaggle_historical
2020-01-30,16 Consumer Cyclical Stocks Moving In Thursday's Pre-Market Session,kaggle_historical
2020-01-30,"UPDATE: Canaccord Genuity Maintains Buy on Tesla, Raises Price Target to $750 Notes 'we expect the upcoming (April) Battery day to help investors understand the lead TSLA maintains, as well as its energy density strategy.'",kaggle_historical
2020-01-30,"'Exponential Growth': Tesla's Scale, Ambition Hurts Bears After Another Big Quarter",kaggle_historical
2020-01-30,"Piper Sandler Maintains Overweight on Tesla, Raises Price Target to $729",kaggle_historical
2020-01-30,"RBC Capital Maintains Underperform on Tesla, Raises Price Target to $530",kaggle_historical
2020-01-30,32 Stocks Moving in Thursday's Pre-Market Session,kaggle_historical
2020-01-30,From Conference Call: Tesla CFO Says We're Trying to Estimate Impact from Coronavirus,kaggle_historical
2020-01-30,From Conference Call: Tesla Says Expects a One to One-and-a-half Week Week Delay in the Ramp of Shanghai-built Model 3 Due to a Government Required Factory Shutdown,kaggle_historical
2020-01-30,From Conference Call:  Tesla Says It is Our Intention to Make Tesla Technology Available for Ride-share,kaggle_historical
2020-01-30,From Conference Call:  Tesla Says Car Insurance Will Be Quite a Major Product Over Time,kaggle_historical
2020-01-30,From Conference Call: Tesla Says There Will Be an Insurance Rate Cut for Customers Driving With Autopilot,kaggle_historical
2020-01-30,"From Conference Call: Tesla Declined to Provide Capex Guidance for This Year, but Said Will Spend a Lot of Money This Year",kaggle_historical
2020-01-30,From Conference Call: Tesla Says Ramping Up Battery Production Will Be the Focus This Year-,kaggle_historical
2020-01-30,"From Conference Call: Tesla Says Has No Acquisition Plans, Does Not Plan to Raise Money to Pay Down Debt",kaggle_historical
2020-01-30,From Conference Call: Tesla Says Model Y and Shanghai Factory Ramp-up Expected to Temporarily Weigh on Margins,kaggle_historical
2020-01-30,All Tesla Directors Except Elon Musk Settle Investors' SolarCity Suits,kaggle_historical
2020-01-30,Tesla Shares Jump Nearly 12% In After-Hours Session After Q4 Earnings Beat,kaggle_historical
2020-01-30,"Hearing Baird Out With Call To Take Profits On Tesla, Sees Expectations 'Now Properly Calibrated' To Stock Valuation",kaggle_historical
2020-01-30,"Deutsche bank Maintains Hold on Tesla, Raises Price Target to $510",kaggle_historical
2020-01-30,"Hearing Wedbush Saying New Long-Term Bull Case Scenario Price Target For Tesla Is $1,000",kaggle_historical
2020-01-30,"Baird Maintains Neutral on Tesla, Raises Price Target to $650",kaggle_historical
2020-01-30,"A Peek Into The Markets: US Stock Futures Tumble Ahead Of Earnings, GDP Data",kaggle_historical
2020-01-30,Tesla shares are trading higher after the company reported better-than-expected Q4 EPS and sales results. The company also reported Q4 Model 3 deliveries were up 46% year-over-year.,kaggle_historical
2020-01-30,"14 Stocks To Watch For January 30, 2020",kaggle_historical
2020-01-31,Elon Musk Just Released A New Song,kaggle_historical
2020-01-31,70 Biggest Movers From Yesterday,kaggle_historical
2020-01-31,"Position Scrimmage: Coronavirus, End-Of-Month Profit Taking Influencing Markets",kaggle_historical
2020-02-01,"Here's How Tesla Shares Will Hit $7,000 By 2024",kaggle_historical
2020-02-01,"Bulls And Bears Of The Week: Amazon, Tesla, GE And More",kaggle_historical
2020-02-03,"Verizon Exec Talks 'First 5G Super Bowl,' Musk Downplays 5G Health Scare",kaggle_historical
2020-02-03,Baron Capital's Ron Baron To Appear On CNBC's Squawk Box Tuesday Feb. 4 At 4:00 p.m.,kaggle_historical
2020-02-03,"What To Know About Elon Musk, Bitcoin And Twitter Scammers",kaggle_historical
